"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","December","Dolores County","3"
"Total","December","Douglas County","339"
"Total","December","Eagle County","174"
"Total","December","Elbert County","30"
"Total","December","El Paso County","925"
"Total","December","Fremont County","75"
"Total","December","Garfield County","156"
"Total","December","Gilpin County","51"
"Total","December","Grand County","44"
"Total","December","Gunnison County","61"
"Total","December","Hinsdale County",""
"Total","December","Huerfano County","5"
"Total","December","Jackson County","2"
"Total","December","Jefferson County","867"
"Total","December","Kiowa County","4"
"Total","December","Kit Carson County","24"
"Total","December","Lake County","13"
"Total","December","La Plata County","143"
"Total","December","Larimer County","817"
"Total","December","Las Animas County","17"
"Total","December","Lincoln County","10"
"Total","December","Logan County","35"
"Total","December","Mesa County","286"
"Total","December","Mineral County","1"
"Total","December","Moffat County","36"
"Total","December","Montezuma County","72"
"Total","December","Montrose County","57"
"Total","December","Morgan County","23"
"Total","December","Otero County","10"
"Total","December","Ouray County","1"
"Total","December","Park County","21"
"Total","December","Phillips County","7"
"Total","December","Pitkin County","67"
"Total","December","Prowers County","8"
"Total","December","Pueblo County","132"
"Total","December","Rio Blanco County","18"
"Total","December","Rio Grande County","13"
"Total","December","Routt County","70"
"Total","December","Saguache County","4"
"Total","December","San Juan County","1"
"Total","December","San Miguel County","21"
"Total","December","Sedgwick County",""
"Total","December","Summit County","156"
"Total","December","Teller County","63"
"Total","December","Washington County","3"
"Total","December","Weld County","483"
"Total","December","Yuma County","4"
"Total","December","Broomfield County","112"
"Total","December","Colorado Bureau of Investigation",""
"Total","December","Colorado State Patrol","2,488"
"2014","January","Total","1,937"
"2014","January","Adams County","350"
"2014","January","Alamosa County",""
"2014","January","Arapahoe County","72"
"2014","January","Archuleta County","1"
"2014","January","Baca County","2"
"2014","January","Bent County","1"
"2014","January","Boulder County","74"
"2014","January","Chaffee County","5"
"2014","January","Cheyenne County",""
"2014","January","Clear Creek County","5"
"2014","January","Conejos County",""
"2014","January","Costilla County","4"
"2014","January","Crowley County",""
"2014","January","Custer County","1"
"2014","January","Delta County","1"
"2014","January","Denver County","182"
"2014","January","Dolores County",""
"2014","January","Douglas County","47"
"2014","January","Eagle County","30"
"2014","January","Elbert County","3"
"2014","January","El Paso County","149"
"2014","January","Fremont County","5"
"2014","January","Garfield County","28"
"2014","January","Gilpin County","10"
"2014","January","Grand County","6"
"2014","January","Gunnison County","5"
"2014","January","Hinsdale County",""
"2014","January","Huerfano County",""
"2014","January","Jackson County","4"
"2014","January","Jefferson County","103"
"2014","January","Kiowa County",""
"2014","January","Kit Carson County","6"
"2014","January","Lake County","5"
"2014","January","La Plata County","33"
"2014","January","Larimer County","140"
"2014","January","Las Animas County","1"
"2014","January","Lincoln County",""
"2014","January","Logan County","1"
"2014","January","Mesa County","47"
"2014","January","Mineral County",""
"2014","January","Moffat County","4"
"2014","January","Montezuma County","3"
"2014","January","Montrose County","14"
"2014","January","Morgan County","6"
"2014","January","Otero County","4"
"2014","January","Ouray County",""
"2014","January","Park County","6"
"2014","January","Phillips County","1"
"2014","January","Pitkin County","13"
"2014","January","Prowers County","5"
"2014","January","Pueblo County","26"
